Uniref_gene,Rsmv1_inoculated,Rsmv1_mock,Ssmv1_inoculated,Ssmv1_mock
UniRef100_A7LCD6,4.68031374724194,2.24069744825545,2.24069744825545,2.24069744825545
UniRef100_I1JBV5,8.68313129631299,8.46488113012159,8.94054076613066,8.98105020983457
UniRef100_C6T0K6,5.86141812990604,6.48048437636464,5.2714791956614,6.19987112737037
UniRef100_I1MQ72,8.41634270821374,8.86586657179734,8.53273703064418,8.61241518429788
UniRef100_UPI00023389FF,4.2767450092643,4.17695894392245,3.88333406657931,4.17695894392245
UniRef100_C6TL68,7.26248168564789,7.22434581019249,7.34570309924096,6.84005376305541
UniRef100_I1LMD7,10.6093855080913,10.015390815775,9.97287354766347,9.39057159640213
UniRef100_I1M5C4,2.25293008249728,3.23761150812542,2.2496054142142,2.40582375786608
UniRef100_I1L3V2,2.30388750685759,2.44201805795695,2.44201805795695,2.44201805795695
UniRef100_I1KRT6,7.3215498760205,7.74728397551925,7.87646724847719,8.20800197014151
UniRef100_UPI0002336E94,2.75784966862448,2.77317072206344,2.76000290861295,4.39102605643237
UniRef100_I1NCJ4,10.5068848101716,10.2706479315283,11.3154521024552,10.3314348866256
UniRef100_I1LAI0,8.27727306218154,8.98622171605491,9.03764165242061,8.84192658597881
UniRef100_UPI000233BA71,4.51156180417143,4.87170079042052,4.66178944458585,4.80978609263285
UniRef100_C6TMF6,8.90765392802564,8.75470784526349,9.18015926675622,8.80696059096275
UniRef100_I1LKF8,2.24226441232888,2.24226441232888,2.24226441232888,2.24226441232888
UniRef100_I1KDU5,2.52314037816557,2.7408693878752,2.50521810440069,2.50693609941264
UniRef100_I3SFE6,2.24069744825545,2.24069744825545,2.24069744825545,2.24069744825545
UniRef100_I1JP87,3.65443859225986,3.68646773197067,4.0796831729297,2.66373875382971
UniRef100_I1KAK1,2.24098542956846,2.24098542956846,2.24098542956846,2.24098542956846
UniRef100_UPI000233BCD0,7.14898636453587,7.03780342974445,6.77874095836835,7.63972511812956
UniRef100_I1N9J9,6.10386120182368,6.2170504613898,6.7152712532868,6.2170504613898
UniRef100_I1K795,6.281033661306,6.24760537921151,5.39414555838834,5.79467265883147
UniRef100_I1KA15,3.10193465934373,3.20570957178561,3.15328732468775,2.79207436211384
UniRef100_UPI0002338708,7.7032989724547,7.68609991847297,8.04932391671558,7.94949770031504
UniRef100_I1M1X9,6.72673093483623,6.44150728028566,6.80089552959435,6.72480404140101
UniRef100_I1LSB4,2.38532302135714,2.49847130479449,2.27797380683862,2.38532302135714
UniRef100_I1K3I4,8.44111988357716,8.76582865441132,9.11354986725554,8.7941381427077
UniRef100_I1LK97,7.99850426119487,7.40048267400827,7.78393257489823,7.1530137954932
UniRef100_I1M5M5,9.44791074257499,9.47998204511241,9.64946257256883,9.49611241060514
UniRef100_I1NB60,4.05687896814504,4.28852525362511,4.33767394604033,4.41252572637626
UniRef100_I1J9Q4,13.3022941083784,7.30240778075468,12.5878840113838,11.0717174830536
UniRef100_I1MGA1,11.3422977469864,11.4958317165578,11.3949362211197,11.463385160854
UniRef100_I1KB13,12.1612190100412,9.9000934778652,11.0892596760112,10.7151325927743
UniRef100_I1MZZ5,3.95868645670872,3.92101048507208,3.25785383087447,3.44618192424734
UniRef100_I1JI69,2.65871461232675,2.82351960279224,2.74791123464047,3.67459231393365
UniRef100_I1KV46,8.55530241332984,8.71750779265634,7.74759409456135,7.84759977217165
UniRef100_F6HE13,7.98252828333653,7.42286732535615,7.86904812446674,7.64487450553232
UniRef100_I1N9E1,7.60304587424785,7.78743151302985,8.44838639257982,7.88197866339761
UniRef100_I1ND69,7.04099117501458,8.54933819719138,9.01269435455177,8.34823335827623
UniRef100_Q45RR9,9.34360178424097,9.48958965605659,9.02851331534713,9.34086341190006
UniRef100_I1KVL5,2.24069744825545,2.24069744825545,2.24069744825545,2.24069744825545
UniRef100_I1LNN7,8.49259077293694,7.89350027140435,7.77497244957,8.41402902519567
UniRef100_UPI000233AFED,8.5546201293214,8.08030614675132,8.51670375528075,8.06616485875073
UniRef100_I1KV28,7.64272736547268,8.2063386715672,7.55635085734305,7.96412797143371
